hour,mean_aqi
0.0,250.89166179784658
1.0,243.1819613694769
2.0,236.50762886597937
3.0,228.10502550380465
4.0,223.2630279291553
5.0,219.76326046432808
6.0,219.51578402622047
7.0,220.25598980458793
8.0,226.11339421613394
9.0,233.95645633096532
10.0,238.00314856243267
11.0,228.99377508395446
12.0,216.19946679592826
13.0,203.81299019607843
14.0,193.94159752724906
15.0,183.02652323862702
16.0,176.11721432074546
17.0,170.634332602161
18.0,170.96556496255292
19.0,180.8180840502978
20.0,208.11202117977993
21.0,232.86219632304662
22.0,247.70548337010706
23.0,251.55493282782493
